15;0.0009;0.4266666667
16;0.0021;0.6173913043
17;0.0057;0.5354969574
18;0.0100;0.5214866434
19;0.0187;0.5107692308
20;0.0295;0.5199820386
21;0.0393;0.5203081232
22;0.0506;0.5086413188
23;0.0641;0.5265743636
24;0.0752;0.5130198915
25;0.0925;0.5112973216
26;0.1080;0.5173392571
27;0.1298;0.5171795953
28;0.1414;0.5143664167
29;0.1485;0.5064096477
30;0.1463;0.5120354517
31;0.1367;0.5117119089
32;0.1246;0.5085255767
33;0.1075;0.5004426084
34;0.0922;0.51525941
35;0.0786;0.5167415272
36;0.0618;0.5052916564
37;0.0508;0.5145228216
38;0.0386;0.5129969419
39;0.0295;0.5099894848
40;0.0205;0.4958174905
41;0.0142;0.5029515939
42;0.0086;0.4640883978
43;0.0055;0.4909090909
44;0.0029;0.4775280899
45;0.0017;0.5204081633
46;0.0007;0.5882352941
47;0.0004;0.76
48;0.0002;0.4444444444
49;0.0002;0.5555555556
